"ID","OWNERID","ISDELETED","NAME","RECORDTYPEID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","LASTVIEWEDDATE","LASTREFERENCEDDATE","ACTIVE_VOD__C","CHILD_OBJECT_NAME_VOD__C","CHILD_RELATIONSHIP_VOD__C","INCLUDE_RELATED_OBJECTS_VOD__C","OBJECT_NAME_VOD__C","PARENT_OBJECT_NAME_VOD__C","PROFILE_ID_VOD__C","RELATIONSHIP_FIELD_VOD__C","RELATIONSHIP_NAME_VOD__C","TYPE_VOD__C","WHERE_CLAUSE_VOD__C","PROFILE_NAME_VOD__C","META_DATA_ONLY_VOD__C","ACCOUNT_LOOKUP_FIELD_VOD__C","DEVICE_VOD__C","EXCLUDE_FIELD_LIST_VOD__C","FIELD_LIST_VOD__C","EXTERNAL_ID_VOD__C","INCLUDE_ATTACHMENTS_VOD__C","ENABLE_ENHANCED_SYNC_VOD__C","MRK_EXTERNAL_ID__C"
"a0xU0000000DHkkIAG","005U0000000XLdfIAG","false","TSM-0000183","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Product_Plan_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHklIAG","005U0000000XLdfIAG","false","TSM-0000184","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","My_Setup_Products_vod__c","","","","","F","WHERE OwnerID = @@VOD_SF_USER_ID@@","","false","","","","","","false","false",""
"a0xU0000000DHkmIAG","005U0000000XLdfIAG","false","TSM-0000185","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Message_vod__c","","","","","F","WHERE Language_vod__c in (@@VOD_USER_LANG_CD@@,'en_US')","","false","","","","","","false","false",""
"a0xU0000000DHknIAG","005U0000000XLdfIAG","false","TSM-0000186","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Sample_Lot_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHkoIAG","005U0000000XLdfIAG","false","TSM-0000187","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Sample_Transaction_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHkpIAG","005U0000000XLdfIAG","false","TSM-0000188","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Call_Followup_Template_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHkqIAG","005U0000000XLdfIAG","false","TSM-0000189","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Key_Message_vod__c","","","","","F","WHERE (Active_vod__c = true OR (Active_vod__c = false AND LastModifiedDate >= LAST_N_DAYS:60 ))","","false","","","","","","false","false",""
"a0xU0000000DHkrIAG","005U0000000XLdfIAG","false","TSM-0000190","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","View_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHksIAG","005U0000000XLdfIAG","false","TSM-0000191","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Preferences_vod__c","","","","","F","Where OwnerId = @@VOD_SF_USER_ID@@","","false","","","","","","false","false",""
"a0xU0000000DHktIAG","005U0000000XLdfIAG","false","TSM-0000192","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Metric_Configuration_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHkuIAG","005U0000000XLdfIAG","false","TSM-0000193","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","UserTerritory","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHkvIAG","005U0000000XLdfIAG","false","TSM-0000194","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Territory","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHkwIAG","005U0000000XLdfIAG","false","TSM-0000195","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Group","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHkxIAG","005U0000000XLdfIAG","false","TSM-0000196","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Attachment","","","","","F","WHERE Name like 'Signature_Graphic%'","","false","","","","","","false","false",""
"a0xU0000000DHkyIAG","005U0000000XLdfIAG","false","TSM-0000197","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Document","","","","","F","WHERE (Name like 'VMobile-image%' or Keywords like '%offline%')","","false","","","","","","false","false",""
